(ingressAS,ASNum,egressAS)|numRulesBefore|numRulesAfter|numAtomsBefore|numAtomsAfter|numIngressNodesBefore|numIngressNodesAfter|numEgressNodesBefore|numEgressNodesAfter|numNodesBefore|numNodesAfter|numLinksBefore|numLinksAfter|minTime|eqTime|combTime|totalTime
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8257076740264893|3.220587730407715|0.03826332092285156|4.084558725357056
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.1406571865081787|2.583728551864624|0.015901803970336914|3.7402875423431396
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.7856922149658203|2.652578592300415|0.029838085174560547|3.468108892440796
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9915740489959717|2.311680555343628|0.04068160057067871|3.3439362049102783
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.2797317504882812|2.5060877799987793|0.01759958267211914|3.8034191131591797
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.985295295715332|2.467871904373169|0.013396978378295898|3.466564178466797
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8169832229614258|2.3665568828582764|0.06071877479553223|3.2442588806152344
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8231344223022461|2.7551965713500977|0.03078317642211914|3.609114170074463
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9833691120147705|2.668407678604126|0.014776468276977539|3.666553258895874
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9179704189300537|2.699519157409668|0.018423795700073242|3.635913372039795
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0423057079315186|2.5336146354675293|0.014978885650634766|3.5908992290496826
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.1195595264434814|2.9669394493103027|0.019359111785888672|4.105858087539673
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.027043342590332|2.252746105194092|0.013390779495239258|3.293180227279663
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8887741565704346|2.4027116298675537|0.07747316360473633|3.3689589500427246
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9242188930511475|2.7333528995513916|0.020653963088989258|3.6782257556915283
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0293023586273193|2.379650592803955|0.05934572219848633|3.4682986736297607
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0821938514709473|2.72228741645813|0.01589345932006836|3.8203747272491455
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0878691673278809|2.4538917541503906|0.019175291061401367|3.560936212539673
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8733620643615723|2.4469757080078125|0.025178194046020508|3.3455159664154053
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8753726482391357|3.0322768688201904|0.018839597702026367|3.9264891147613525
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.029771089553833|2.722100019454956|0.02049994468688965|3.7723710536956787
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.7583763599395752|2.5516297817230225|0.06638407707214355|3.376390218734741
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9639663696289062|2.7338733673095703|0.017532825469970703|3.7153725624084473
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.2680704593658447|2.492818832397461|0.021729707717895508|3.782618999481201
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.8287827968597412|2.702723979949951|0.07065415382385254|3.602160930633545
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|0.9571945667266846|2.669102430343628|0.024008512496948242|3.6503055095672607
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0785059928894043|2.129148483276367|0.025425434112548828|3.2330799102783203
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0099759101867676|2.576063871383667|0.04296398162841797|3.6290037631988525
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0543785095214844|2.315788984298706|0.06796908378601074|3.438136577606201
(1,6467,701)|16|3|89|15|4|2|2|1|11|5|23|8|1.0660934448242188|2.607609987258911|0.039202213287353516|3.7129056453704834
