prob data
0.0000 1397.1258 
0.0102 1399.6227 
0.0204 1406.642 
0.0306 1407.6297 
0.0408 1408.3217 
0.0510 1425.425 
0.0612 1425.7223 
0.0714 1430.398 
0.0816 1434.6042 
0.0918 1439.3289 
0.1020 1441.4639 
0.1122 1443.7088 
0.1224 1443.7568 
0.1327 1445.134 
0.1429 1448.2941 
0.1531 1450.1925 
0.1633 1450.9322 
0.1735 1451.8775 
0.1837 1452.316 
0.1939 1452.9214 
0.2041 1453.0818 
0.2143 1453.2366 
0.2245 1453.6173 
0.2347 1454.0892 
0.2449 1454.7527 
0.2551 1455.8366 
0.2653 1456.3442 
0.2755 1457.2077 
0.2857 1457.4452 
0.2959 1458.0793 
0.3061 1459.8277 
0.3163 1460.5707 
0.3265 1461.7511 
0.3367 1461.7906 
0.3469 1462.0245 
0.3571 1462.0366 
0.3673 1462.5744 
0.3776 1462.7246 
0.3878 1462.9867 
0.3980 1463.8333 
0.4082 1463.87 
0.4184 1464.0604 
0.4286 1464.6783 
0.4388 1465.1091 
0.4490 1466.0709 
0.4592 1466.6019 
0.4694 1467.1325 
0.4796 1467.1889 
0.4898 1467.2975 
0.5000 1467.4528 
0.5102 1469.4965 
0.5204 1469.8451 
0.5306 1469.9149 
0.5408 1470.1596 
0.5510 1470.5157 
0.5612 1471.1959 
0.5714 1471.4015 
0.5816 1471.6294 
0.5918 1472.1913 
0.6020 1472.2461 
0.6122 1472.8278 
0.6224 1473.0315 
0.6327 1474.6408 
0.6429 1475.11 
0.6531 1475.6501 
0.6633 1476.3051 
0.6735 1476.4116 
0.6837 1476.8498 
0.6939 1477.3912 
0.7041 1477.6366 
0.7143 1479.271 
0.7245 1480.7278 
0.7347 1480.9796 
0.7449 1481.8515 
0.7551 1482.7072 
0.7653 1483.5681 
0.7755 1483.8374 
0.7857 1483.9702 
0.7959 1484.0378 
0.8061 1484.1524 
0.8163 1484.5471 
0.8265 1485.865 
0.8367 1486.3178 
0.8469 1486.3331 
0.8571 1486.7056 
0.8673 1486.8398 
0.8776 1486.9809 
0.8878 1488.4262 
0.8980 1489.024 
0.9082 1489.6738 
0.9184 1490.3653 
0.9286 1491.5361 
0.9388 1501.141 
0.9490 1501.6783 
0.9592 1687.5196 
0.9694 1691.8307 
0.9796 1709.1203 
0.9898 1727.5059 
1.0000 1741.4963 
