prob data
0.0000 667.8041 
0.0102 674.9942 
0.0204 692.3011 
0.0306 694.5472 
0.0408 702.9685 
0.0510 951.7128 
0.0612 955.632 
0.0714 968.7857 
0.0816 977.5753 
0.0918 984.5743 
0.1020 1001.829 
0.1122 1211.7804 
0.1224 1232.6279 
0.1327 1243.888 
0.1429 1254.7637 
0.1531 1258.533 
0.1633 1259.9709 
0.1735 1266.3591 
0.1837 1266.8851 
0.1939 1277.8923 
0.2041 1287.2927 
0.2143 1514.7789 
0.2245 1529.2634 
0.2347 1552.1997 
0.2449 1578.5202 
0.2551 1780.9758 
0.2653 1784.8513 
0.2755 1815.4943 
0.2857 1817.7991 
0.2959 1832.7788 
0.3061 1836.134 
0.3163 2473.1973 
0.3265 2529.2139 
0.3367 2688.6764 
0.3469 2689.8503 
0.3571 2960.083 
0.3673 3107.2583 
0.3776 3206.6519 
0.3878 3219.9037 
0.3980 3231.4525 
0.4082 3254.8027 
0.4184 3364.3985 
0.4286 3441.7114 
0.4388 3475.5991 
0.4490 3483.5673 
0.4592 3495.8419 
0.4694 3506.2514 
0.4796 3536.1333 
0.4898 3609.9968 
0.5000 3769.8515 
0.5102 3790.9059 
0.5204 3804.5551 
0.5306 3808.2034 
0.5408 3809.1355 
0.5510 3838.6464 
0.5612 3850.5861 
0.5714 3924.3572 
0.5816 3988.189 
0.5918 4153.721 
0.6020 4177.4835 
0.6122 4197.2551 
0.6224 4215.9953 
0.6327 4232.9619 
0.6429 4235.5249 
0.6531 4267.8249 
0.6633 4352.7513 
0.6735 4403.5903 
0.6837 4495.7738 
0.6939 4499.8129 
0.7041 4521.0549 
0.7143 4541.6898 
0.7245 4547.9782 
0.7347 4551.0874 
0.7449 4559.8614 
0.7551 4829.118 
0.7653 4878.3028 
0.7755 4889.4849 
0.7857 4909.4402 
0.7959 4914.6748 
0.8061 4916.3083 
0.8163 4917.8067 
0.8265 4942.3518 
0.8367 5099.6128 
0.8469 5113.8025 
0.8571 5323.2266 
0.8673 5334.092 
0.8776 5459.143 
0.8878 5469.3001 
0.8980 5533.8057 
0.9082 5584.6639 
0.9184 5587.8148 
0.9286 5604.9209 
0.9388 5638.9666 
0.9490 5649.8246 
0.9592 5671.8068 
0.9694 5807.2636 
0.9796 5962.7962 
0.9898 5989.2072 
1.0000 7167.1707 
