prob data
0.0000 3801.3141 
0.0102 3806.3266 
0.0204 3816.6439 
0.0306 3817.9512 
0.0408 3825.5038 
0.0510 3827.0238 
0.0612 3836.5935 
0.0714 3838.843 
0.0816 3844.902 
0.0918 3849.5918 
0.1020 3849.993 
0.1122 3852.4806 
0.1224 3855.417 
0.1327 3856.4779 
0.1429 3857.2629 
0.1531 3857.3508 
0.1633 3857.9178 
0.1735 3858.3085 
0.1837 3858.4523 
0.1939 3861.8755 
0.2041 3866.3828 
0.2143 3867.36 
0.2245 3868.2579 
0.2347 3868.6851 
0.2449 3871.0356 
0.2551 3871.2071 
0.2653 3873.7705 
0.2755 3874.941 
0.2857 3876.6965 
0.2959 3876.7264 
0.3061 3877.6622 
0.3163 3878.2599 
0.3265 3878.4656 
0.3367 3878.6508 
0.3469 3878.9955 
0.3571 3880.6758 
0.3673 3880.6946 
0.3776 3880.7498 
0.3878 3881.3023 
0.3980 3881.7813 
0.4082 3882.0801 
0.4184 3883.918 
0.4286 3884.2259 
0.4388 3884.2771 
0.4490 3885.3126 
0.4592 3885.6518 
0.4694 3888.4573 
0.4796 3889.8987 
0.4898 3890.1517 
0.5000 3890.7953 
0.5102 3891.3753 
0.5204 3892.832 
0.5306 3893.0995 
0.5408 3893.5217 
0.5510 3893.9736 
0.5612 3894.176 
0.5714 3895.7403 
0.5816 3896.7134 
0.5918 3897.4492 
0.6020 3899.2392 
0.6122 3900.4528 
0.6224 3901.268 
0.6327 3902.0525 
0.6429 3902.2799 
0.6531 3902.3257 
0.6633 3904.7884 
0.6735 3908.873 
0.6837 3909.5879 
0.6939 3911.2487 
0.7041 3914.8567 
0.7143 3920.2493 
0.7245 3921.34 
0.7347 3925.4813 
0.7449 3926.6432 
0.7551 3928.8442 
0.7653 3930.2238 
0.7755 3931.6829 
0.7857 3931.9673 
0.7959 3932.3734 
0.8061 3933.6025 
0.8163 3939.3574 
0.8265 3941.9469 
0.8367 3948.3255 
0.8469 3949.0175 
0.8571 3963.7633 
0.8673 3963.7863 
0.8776 3964.204 
0.8878 3965.3399 
0.8980 3966.2787 
0.9082 3970.5121 
0.9184 3971.1119 
0.9286 3975.7774 
0.9388 3998.096 
0.9490 4009.9166 
0.9592 4021.3364 
0.9694 4170.8581 
0.9796 4177.8719 
0.9898 4207.1113 
1.0000 4245.6033 
