len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer
10 True 18 1 2.0158 6.3345 1030.9708 365.0696 0.0010
9 True 24 1 8.3592 15.0936 2412.4994 108.1839 0.0012
12 True 18 1 2.5358 7.7424 1320.2312 19.3019 0.0010
13 True 24 1 2.5988 26.7243 2448.3931 75.6316 0.0014
8 True 18 1 5.8353 17.1974 1085.7010 102.3054 0.0010
7 True 24 1 6.8173 24.5793 1751.4167 42.9540 0.0024
12 True 18 1 10.8778 24.3502 2261.7495 68.8422 0.0014
10 True 24 1 9.1996 27.7684 2500.6208 404.9511 0.0010
7 True 18 1 2.0583 18.1398 1879.2374 49.9861 0.0019
8 True 24 1 7.5643 21.4229 1345.0994 87.3454 0.0012
