len(path) ans count_application total_queries gen_z check_applicable operation_time query_answer check_answer total_time
8 True 14 1 0.1149 1.1647 323.0724 140.8417 0.0007 768.0018
8 True 14 1 0.0358 1.9362 416.8427 141.3367 0.0010 994.0166
8 True 14 1 0.0749 2.2345 341.5000 140.2123 0.0010 776.1161
10 True 14 1 0.0389 2.0735 313.1523 759.3114 0.0007 1370.5626
9 True 14 1 0.0412 2.1937 353.1115 260.1457 0.0007 942.9789
8 True 14 1 0.0339 0.3259 311.1222 66.7307 0.0012 643.3494
9 True 14 1 0.1302 2.5365 341.2640 276.9711 0.0010 920.9394
12 True 14 1 0.0451 0.9055 337.3573 4015.4665 0.0014 4625.6156
8 True 14 1 0.0327 1.0397 473.7489 62.4797 0.0010 881.9773
11 True 14 1 0.1440 1.6406 334.6369 1275.3482 0.0010 1944.4437
8 True 14 1 0.0341 1.3092 345.4058 136.2927 0.0010 805.3808
10 True 14 1 0.1402 2.0919 313.2181 710.6435 0.0007 1337.7123
4 True 14 1 0.0691 1.4198 317.7133 4.5111 0.0029 615.2389
10 True 14 1 0.0870 1.4851 353.0025 713.2838 0.0007 1373.8723
6 True 14 1 0.0989 1.0312 321.0697 24.4770 0.0031 619.4000
8 True 14 1 0.1223 1.4353 312.4228 134.0568 0.0010 727.7575
8 True 14 1 0.1156 2.2271 354.5361 134.9802 0.0010 787.1454
8 True 14 1 0.1192 2.6073 335.0651 134.5222 0.0012 903.5466
9 True 14 1 0.0360 1.2496 294.4262 278.3840 0.0012 872.3800
10 True 14 1 0.1354 1.9348 328.9058 707.9420 0.0007 1360.3907
