len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 4793.1986 191.6478 1004.5085 54183.1508 2.2557
10 True 5 2219.2588 225.0683 948.7345 54173.0735 2.5175
10 True 5 1779.9256 232.8501 960.5827 54155.8440 2.3913
10 True 5 1877.5065 228.8032 961.7717 54188.2904 2.1987
10 True 5 4614.0122 236.2151 963.2328 54015.3365 2.3766
10 True 5 1397.4721 217.6690 964.8113 54031.6048 2.1329
10 True 5 1116.0989 228.8320 967.1998 54007.3247 2.2168
10 True 5 3757.0097 233.3632 963.1722 53886.0288 2.2964
10 True 5 1407.1460 212.9397 951.4058 53943.2111 2.3656
10 True 5 1157.2351 221.1618 962.9531 53946.5835 2.0292
10 True 5 3007.4964 226.3582 962.1625 53842.0289 2.1181
10 True 5 4070.9202 232.2235 954.4420 53665.2713 2.4068
10 True 5 1914.8457 218.7998 966.5725 53738.0750 2.3434
10 True 5 1800.4410 225.8875 960.5737 53679.3346 2.1243
10 True 5 1775.2295 208.6182 967.7186 53666.4667 2.1582
10 True 5 1363.0149 205.6935 950.9177 53720.5789 2.0046
10 True 5 2749.6195 215.4360 958.6706 53701.3025 2.4042
10 True 5 2119.1177 215.0400 959.1081 53750.9356 2.1560
10 True 5 1375.3889 226.2237 950.1984 53725.1587 2.5060
10 True 5 1031.4543 231.4620 960.0101 53740.7200 2.1274
