len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 3.3693 5.4033 3.6006 1729.0945 0.0286
10 True 5 10.8843 4.1759 3.0103 1709.4049 0.0305
10 True 5 3.6936 4.8320 2.7363 1676.2269 0.0308
10 True 5 3.3643 3.0971 2.3468 1682.9898 0.0327
10 True 5 17.4775 2.8918 2.1448 1686.5752 0.0310
10 True 5 3.6814 3.9747 2.9991 1442.9302 0.0319
10 True 5 3.4285 4.0605 3.1853 1451.0391 0.0377
10 True 5 3.4807 2.9140 2.3608 1441.4051 0.0319
10 True 5 9.7635 3.8514 3.1240 1484.9091 0.0303
10 True 5 3.6361 3.8197 2.8946 1433.3286 0.0298
10 True 5 4.7719 5.0533 4.0383 1463.4986 0.0291
10 True 5 3.9022 4.6430 3.4895 1459.5625 0.0322
10 True 5 6.8316 2.9848 2.3947 1427.0878 0.0300
10 True 5 5.0311 3.8149 3.0119 1439.0433 0.0310
10 True 5 13.5338 5.0566 4.0605 1468.8463 0.0389
10 True 5 8.3563 3.7956 3.1719 1440.9916 0.0288
10 True 5 9.3768 4.9229 3.9647 1448.8926 0.0319
10 True 5 4.6394 5.0917 4.0367 1452.8050 0.0291
10 True 5 6.9757 3.0105 2.4002 1443.4183 0.0319
10 True 5 14.4639 5.2316 3.9880 1460.3233 0.0310
10 True 5 4.8568 2.7721 2.2194 1415.5438 0.0329
10 True 5 18.6985 5.2392 4.2732 1458.0781 0.0288
10 True 5 5.9817 3.8595 3.1657 1441.7162 0.0296
10 True 5 5.8742 4.7007 3.2971 1470.2499 0.0305
10 True 5 8.3249 4.6747 3.2701 1453.8572 0.0327
10 True 5 7.6630 5.2218 3.7186 1450.4960 0.0331
10 True 5 9.0556 5.1498 3.9256 1465.7960 0.0432
10 True 5 3.4688 5.1258 3.7656 1450.3341 0.0303
10 True 5 4.4346 5.2114 4.0514 1456.1181 0.0296
10 True 5 4.0684 3.9277 2.8553 1443.2044 0.0334
10 True 5 3.4323 4.0097 3.0470 1446.9190 0.0372
10 True 5 3.5696 4.7667 3.8228 1455.2627 0.0310
10 True 5 8.4825 2.8751 2.2292 1416.7812 0.0300
10 True 5 5.0955 5.1394 3.8514 1463.5205 0.0298
10 True 5 9.3749 3.9136 2.9778 1436.0199 0.0298
10 True 5 3.4051 3.9005 3.0339 1442.5519 0.0300
10 True 5 3.9570 2.6720 2.1272 1397.8560 0.0298
10 True 5 8.8339 5.2514 4.0159 1458.7188 0.0298
10 True 5 15.1677 4.5185 3.5572 1465.1520 0.0308
10 True 5 4.0207 4.5531 3.7534 1449.6782 0.0312
10 True 5 4.6113 5.1570 4.0691 1447.9227 0.0305
10 True 5 21.4257 5.1007 4.1227 1451.1721 0.0303
10 True 5 3.4630 4.0071 3.0692 1442.4958 0.0467
10 True 5 10.2355 5.1365 3.9928 1470.2787 0.0303
10 True 5 18.1108 3.9799 4.2253 1457.4871 0.0343
10 True 5 3.6974 3.8254 2.8834 1461.8099 0.0300
10 True 5 6.1481 3.9542 3.4232 1444.5233 0.0305
10 True 5 7.6013 3.9911 3.0241 1442.5581 0.0331
10 True 5 5.8529 5.1122 3.9151 1451.1576 0.0331
10 True 5 4.7145 3.8967 2.8658 1432.2498 0.0300
10 True 5 5.5799 4.4913 3.4525 1438.3230 0.0308
10 True 5 6.9058 5.0259 4.0638 1468.5204 0.0312
10 True 5 3.3352 5.1234 3.9201 1466.8620 0.0303
10 True 5 4.3533 5.1818 4.1411 1475.3170 0.0308
10 True 5 7.0207 3.9694 2.9984 1451.0896 0.0310
10 True 5 3.4328 2.6436 2.0769 1400.1293 0.0391
10 True 5 6.4054 3.9208 2.3675 1384.4016 0.0305
10 True 5 6.8061 5.1842 4.0059 1447.7990 0.0381
10 True 5 3.2310 3.9513 3.1173 1434.7994 0.0350
10 True 5 5.4393 3.8865 3.0167 1450.6099 0.0343
10 True 5 3.6321 4.4055 3.4413 1458.9965 0.0403
10 True 5 3.3267 4.5335 3.6147 1474.3512 0.0389
10 True 5 6.3319 5.1119 4.1683 1459.4681 0.0298
10 True 5 6.2599 3.3274 2.3615 1395.6499 0.0310
10 True 5 7.4613 4.9508 3.9029 1453.5701 0.0298
10 True 5 7.9250 5.1632 4.1518 1457.3691 0.0317
10 True 5 6.9733 5.1515 4.1173 1467.2914 0.0346
10 True 5 12.9845 5.1243 3.9465 1450.7425 0.0300
10 True 5 4.9543 3.9551 3.1784 1441.1185 0.0303
10 True 5 10.3920 3.8505 3.1846 1443.1069 0.0367
10 True 5 3.6814 3.9294 3.1152 1449.0616 0.0401
10 True 5 4.6299 3.7267 2.4593 1388.7706 0.0362
10 True 5 12.1219 3.9074 3.0234 1461.6446 0.0305
10 True 5 10.1867 5.0879 3.9737 1467.4270 0.0303
10 True 5 5.7981 5.2190 4.2081 1455.9395 0.0312
10 True 5 19.6598 3.9368 2.9747 1442.8928 0.0324
10 True 5 10.1373 2.4798 1.9064 1411.1607 0.0381
10 True 5 12.6865 4.9243 4.0162 1464.6668 0.0393
10 True 5 10.2701 3.5751 3.0069 1454.5186 0.0308
10 True 5 3.4688 5.1200 3.8886 1488.6324 0.0312
10 True 5 10.8414 5.1329 4.1645 1456.1355 0.0308
10 True 5 6.5908 5.1661 4.0874 1451.4151 0.0381
10 True 5 3.3181 3.9139 3.0594 1449.5516 0.0319
10 True 5 13.8428 5.3892 4.9219 1462.6489 0.0370
10 True 5 15.3060 2.8365 2.4688 1413.9621 0.0308
10 True 5 7.4370 5.1110 4.1332 1455.4796 0.0305
10 True 5 4.9078 5.2311 4.0374 1458.8237 0.0315
10 True 5 3.5145 4.8993 3.8264 1452.4016 0.0365
10 True 5 3.5934 4.2655 3.1157 1451.5681 0.0317
10 True 5 3.3681 3.9260 3.1834 1437.7813 0.0353
10 True 5 6.3238 3.4258 2.4128 1429.2672 0.0343
10 True 5 7.2207 5.0929 4.2312 1459.8298 0.0370
10 True 5 8.3084 5.0406 3.9692 1469.6312 0.0315
10 True 5 18.6534 5.2471 4.1044 1452.9366 0.0381
10 True 5 9.7966 4.2512 3.4275 1446.3589 0.0358
10 True 5 4.8573 5.1475 3.8912 1448.0989 0.0296
10 True 5 12.2328 5.1017 4.0646 1468.9350 0.0312
10 True 5 5.8768 5.0824 3.9721 1467.7463 0.0296
10 True 5 3.1760 5.0452 4.0441 1451.7636 0.0315
10 True 5 3.6256 4.9491 3.9616 1463.0830 0.0308
