len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 23.7398 4.9932 4.0660 3173.8009 0.0520
10 True 5 60.3099 5.8944 5.3074 3183.2304 0.0606
10 True 4 16.1114 4.9379 4.4770 3338.8159 0.0563
10 True 9 29.7008 8.8356 7.1335 5288.3191 0.1030
10 True 6 48.6269 6.0828 5.3008 4292.6700 0.0708
10 False 18 16.3374 17.6990 15.1386 5589.5138 0.2778
10 True 9 22.6955 10.5505 6.5804 4874.7349 0.1135
10 True 5 30.0155 6.0899 5.5401 3568.2900 0.0613
10 True 6 20.1390 11.7862 13.4044 1770.0889 0.0758
10 True 5 59.6833 2.8708 2.4214 1487.1686 0.0556
10 True 8 20.3683 8.5106 5.6715 4513.3374 0.0904
10 True 4 25.5570 2.7237 2.4698 1256.4986 0.0436
10 True 2 42.9070 2.3675 1.8399 627.8579 0.0219
10 True 4 16.3882 8.3344 7.5366 1200.3272 0.0415
10 True 6 14.9429 5.2433 4.0951 3784.7703 0.0839
10 True 6 30.4902 9.5918 9.6107 1768.0430 0.0634
10 True 4 31.1673 10.3643 13.0289 1212.2824 0.0422
10 True 7 31.9922 5.8861 5.5518 4192.0178 0.0770
10 True 4 29.3212 2.8093 2.3210 1231.8630 0.0446
10 True 8 55.0148 8.8472 7.2410 4470.4945 0.0923
10 True 6 24.7200 13.3226 14.4894 1780.1483 0.0985
10 True 8 16.5381 6.5680 5.5649 4467.0022 0.1006
10 True 8 27.4522 7.3650 6.3348 4518.6138 0.0956
10 True 11 27.3407 5.8661 4.6861 5421.1278 0.1223
10 True 8 37.6074 5.0926 4.5700 4356.2295 0.0908
10 True 6 40.0493 5.2574 5.0402 3719.4264 0.0782
10 True 7 31.9059 5.5470 5.2097 4154.4974 0.0951
10 True 9 19.6519 8.8258 7.0539 4882.1740 0.1011
10 True 5 40.2985 4.4265 4.6740 3486.6714 0.0629
10 True 6 15.1892 7.4370 6.6533 1751.6174 0.0789
10 True 6 72.2656 5.8715 5.8389 3840.3180 0.0632
10 True 8 17.3898 8.1255 6.5722 4488.8577 0.1097
10 True 3 19.4988 9.1214 12.2008 936.7247 0.0296
10 False 18 15.3625 13.8028 7.8652 5567.6324 0.2580
10 True 10 15.2137 8.7554 6.1362 4879.1945 0.1404
10 True 6 15.1770 5.8017 4.4875 3813.0927 0.0875
10 True 6 21.1709 5.1377 4.9314 3776.8962 0.0672
10 True 3 20.5078 2.7754 2.4264 943.0468 0.0293
10 True 8 15.2407 7.0274 5.6419 4523.0696 0.1078
10 True 12 16.6481 12.3250 9.6700 5633.0259 0.1378
10 False 18 20.6718 21.6050 17.0674 5590.2174 0.2630
10 True 4 16.8722 2.9862 2.9469 1231.9164 0.0420
10 False 18 17.7701 14.0481 6.8924 5923.7752 0.3104
10 True 2 62.7522 1.1392 0.6721 638.3843 0.0207
10 True 6 15.4390 5.3482 5.1787 3193.8555 0.0823
10 True 5 56.2234 5.8262 5.5499 3428.1857 0.0567
10 False 18 27.6787 14.2817 7.2370 5535.2030 0.2635
10 True 8 41.2412 5.8856 5.4829 4447.1059 0.0973
10 True 6 15.3339 8.2874 7.3960 1753.7622 0.0718
10 False 18 23.0391 13.9747 7.0438 5944.8764 0.2732
10 True 10 15.1436 9.9497 7.1023 5067.2808 0.1364
10 True 4 14.9443 2.8012 2.5685 1223.5339 0.0401
10 True 5 38.2984 12.6536 11.8299 1515.6832 0.0551
10 True 5 14.8444 7.3335 6.7434 1500.2761 0.0660
10 True 9 18.7974 6.5417 5.9090 4858.1393 0.0975
10 True 5 15.1606 5.4560 5.8434 3479.7254 0.0660
10 True 11 22.1462 10.9975 6.0861 5494.4205 0.1554
10 True 17 18.3794 15.0983 9.2168 7124.2259 0.2503
10 True 8 26.4945 6.4490 5.6715 2434.4633 0.1190
10 True 5 15.1753 4.7972 4.2930 3451.2618 0.0718
10 True 6 15.2662 5.4111 5.4662 3764.6778 0.0846
10 True 3 15.2559 2.0945 1.3633 932.9526 0.0465
10 True 4 39.1767 3.3381 2.9311 1213.0444 0.0427
10 True 3 56.2506 2.6226 2.0278 940.8941 0.0339
10 True 4 37.5128 5.1599 4.9021 2641.0463 0.0553
10 True 10 19.0051 13.0227 12.5549 5069.0901 0.1297
10 True 3 18.0018 1.9536 1.3745 934.2723 0.0298
10 True 7 31.8670 6.1595 5.7700 4109.8473 0.0772
10 True 4 15.5509 2.1574 2.1422 1191.8774 0.0525
10 True 7 15.4400 6.2549 5.6446 4205.5249 0.0975
10 True 4 15.6398 4.7607 3.9296 3082.8731 0.0551
10 False 18 26.7861 13.8857 7.8671 5538.9953 0.2806
10 True 6 34.9360 5.7392 6.0956 3757.7178 0.0665
10 True 9 26.9454 7.0202 6.2776 4788.7723 0.1025
10 True 5 24.2627 5.7385 5.0576 1479.6617 0.0584
10 True 11 17.0462 7.7364 5.9206 5292.3942 0.1292
10 True 9 37.7052 10.8533 5.7847 4823.8380 0.1216
10 True 7 15.4860 7.1361 5.2910 4188.0026 0.0796
10 True 9 26.2005 8.4579 6.6519 4900.9392 0.1023
10 True 5 22.9535 5.5997 5.5490 2925.9245 0.0563
10 True 2 38.1134 2.1057 1.4300 650.6298 0.0222
10 True 8 15.3747 4.9233 4.3459 4243.0842 0.0968
10 True 12 28.9843 9.5038 6.6578 5515.5170 0.1521
10 True 5 15.9607 5.0089 4.7326 3415.9558 0.0534
10 True 2 16.8245 1.9119 1.4036 647.6426 0.0215
10 True 7 28.1756 6.7961 6.0787 4136.3454 0.0877
10 True 6 27.5934 13.1691 13.5999 1781.7039 0.0677
10 True 5 23.7381 5.1463 4.9496 3449.6589 0.0744
10 True 4 37.3740 2.8183 2.0373 1217.6960 0.0453
10 True 8 28.7230 7.3330 10.7479 2482.2972 0.1128
10 True 4 50.0739 5.0681 4.6184 3171.6368 0.0553
10 True 4 31.4889 12.5015 13.1669 1220.6821 0.0529
10 True 4 35.6762 4.9682 4.9438 2644.2068 0.0553
10 True 9 32.6409 7.8499 6.7124 4868.9611 0.1440
10 True 12 15.0108 10.1018 7.4139 5774.5695 0.1676
10 True 6 23.1445 5.7220 5.2545 3816.3981 0.0670
10 True 3 21.6157 2.9247 2.7099 957.2892 0.0348
10 True 2 37.0748 2.0752 1.5590 653.8160 0.0222
10 True 8 24.0178 6.8219 5.9357 3951.3149 0.0987
10 True 11 27.9732 14.9229 15.4307 5410.8391 0.1342
