len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 5 24.8125 6.1576 4.2160 1726.5527 0.0272
10 True 5 3.3994 5.0242 4.0221 1714.5329 0.0284
10 True 5 3.3414 3.5198 2.6097 1684.5906 0.0334
10 True 5 13.3083 3.7737 2.8107 1708.8261 0.0334
10 True 5 15.9857 5.1830 4.0014 1716.4917 0.0305
10 True 5 11.3893 2.4593 1.6942 1665.5200 0.0360
10 True 5 5.8711 4.7412 3.1476 1719.2495 0.0334
10 True 5 15.3093 4.8749 3.2549 1712.1723 0.0336
10 True 5 15.1753 3.4485 2.3232 1696.3251 0.0322
10 True 5 4.5059 4.0312 2.9206 1677.5486 0.0293
10 True 5 18.4624 4.8218 3.3956 1714.2913 0.0303
10 True 5 9.3105 5.0578 3.8762 1714.1466 0.0379
10 True 5 3.2787 3.9239 2.9798 1694.2811 0.0286
10 True 5 8.7824 5.2452 3.8974 1714.3316 0.0303
10 True 5 4.6759 5.2240 4.1578 1716.2621 0.0305
10 True 5 7.0934 5.1448 4.2822 1715.8220 0.0312
10 True 5 12.1443 5.2924 4.0081 1717.1113 0.0291
10 True 5 4.6113 3.9389 3.1965 1702.1642 0.0319
10 True 5 4.9601 5.1298 3.9937 1709.3611 0.0277
10 True 5 16.4073 5.0533 3.7110 1717.6940 0.0296
