len(path) ans count_application gen_z check_applicable operation_time query_answer check_answer
10 True 6 69.9112 6.3968 5.6217 4163.6095 0.0641
10 True 6 14.9775 4.9875 4.2439 4182.8306 0.0718
10 True 6 15.3189 5.5144 4.7421 4152.2305 0.0660
10 True 6 22.8150 5.2478 4.6375 4138.0951 0.0627
10 True 6 16.9783 6.0306 5.1715 3874.0175 0.0820
10 True 6 15.3959 6.1026 5.7211 3902.9241 0.0801
10 True 6 31.2502 5.8091 5.0857 3921.5679 0.0734
10 True 6 25.7812 5.1842 4.7925 3832.8526 0.0746
10 True 6 86.6392 5.3318 5.0247 3866.6997 0.0679
10 True 6 24.5771 5.7890 5.3864 3848.0933 0.0722
10 True 6 22.6526 5.2483 4.6000 3825.7432 0.0644
10 True 6 26.1397 5.6643 4.9965 3895.5064 0.0665
10 True 6 108.9156 6.1672 5.4319 3889.3337 0.0682
10 True 6 23.4585 5.0671 4.1819 3851.4462 0.0722
10 True 6 21.3752 5.9633 5.1799 3892.8897 0.0732
10 True 6 18.4696 5.9955 5.2581 3896.8542 0.0658
10 True 6 38.7545 5.1351 4.5075 3839.9932 0.0670
10 True 6 20.4325 5.2991 5.3618 3849.5340 0.0672
10 True 6 25.2922 5.9514 4.9520 3895.4215 0.0658
10 True 6 48.8536 6.2685 5.3878 3915.2012 0.0663
10 True 6 26.9032 6.0554 5.2917 3881.9308 0.0682
10 True 6 30.5526 6.1731 5.0499 3834.8432 0.0777
10 True 6 32.4054 5.5325 4.3545 3828.6748 0.0684
10 True 6 40.2894 5.6951 4.4992 3898.4673 0.0665
10 True 6 17.8063 5.7061 4.5300 3862.6838 0.0691
10 True 6 15.4328 6.0019 5.8029 3851.1472 0.0808
10 True 6 14.9007 6.1014 4.9384 3852.9887 0.0663
10 True 6 23.1490 5.2459 4.8523 3834.0499 0.0629
10 True 6 15.3496 6.0983 5.8515 3904.5787 0.0892
10 True 6 15.2793 5.0824 4.2498 3793.2758 0.0639
10 True 6 16.2926 5.8334 5.0550 3809.3491 0.0634
10 True 6 21.2972 6.0742 5.5552 3869.0479 0.0780
10 True 6 46.2751 6.1862 5.1458 3884.2630 0.0768
10 True 6 15.8777 5.0242 4.9810 3830.5318 0.0632
10 True 6 86.7274 6.1145 5.8274 3865.4699 0.0648
10 True 6 15.3537 5.6105 5.0309 3850.6622 0.0691
10 True 6 15.3451 4.8981 4.4541 3791.8789 0.0677
10 True 6 23.1051 6.3124 5.2304 3904.6466 0.0629
10 True 6 18.0140 5.4903 4.7686 3853.7431 0.0641
10 True 6 101.4512 5.9927 5.6422 3857.9478 0.0780
10 True 6 21.1289 5.8353 5.2900 3829.5591 0.0622
10 True 6 28.7874 5.3883 4.6690 3799.9215 0.0768
10 True 6 31.7943 5.8451 5.0185 3848.6428 0.0746
10 True 6 26.1147 5.7788 4.7462 3820.5450 0.0782
10 True 6 15.0344 5.3060 4.6434 3833.4022 0.0663
10 True 6 16.5870 5.8324 5.0130 3851.1505 0.0679
10 True 6 95.5286 5.8539 5.8413 3914.0363 0.0763
10 True 6 24.6582 5.5778 5.0926 3857.6975 0.0734
10 True 6 26.4614 5.9433 5.5039 3789.0408 0.0744
10 True 6 36.6411 6.2177 5.3303 3849.1871 0.0730
10 True 6 61.8885 6.1655 5.5795 3891.6311 0.0753
10 True 6 41.0907 6.0165 5.7044 3847.5773 0.0639
10 True 6 19.8784 6.0971 5.3473 3865.3145 0.0761
