total check_applicable1 check_applicable2 insert_time1 insert_time2 check_trivial
5.0497 2.4328 0.5915 0.3984 0.3273 1.2996
4.8943 1.5109 1.1811 0.7339 0.7246 0.7439
4.9157 1.4467 1.1892 0.7923 0.6981 0.7894
5.2080 1.4691 1.1451 0.7696 0.6537 1.1704
5.3747 1.4699 1.1907 0.7906 0.6766 1.2469
4.7181 1.4689 1.0893 0.7689 0.6509 0.7401
4.8473 1.4658 1.1578 0.7951 0.6704 0.7582
4.7536 1.4410 1.1501 0.7541 0.6773 0.7310
5.3461 1.4608 1.1685 0.7975 0.7343 1.1849
5.2767 1.4663 1.1499 0.7501 0.7176 1.1928
5.2693 1.4646 1.1435 0.7706 0.7417 1.1489
4.8323 1.4780 1.1454 0.7713 0.7460 0.6917
5.1324 1.4551 1.1284 0.7572 0.6971 1.0946
4.7653 1.4536 1.1082 0.7055 0.7722 0.7257
5.2965 1.4474 1.1466 0.7699 0.7231 1.2095
4.8692 1.4741 1.1730 0.7703 0.6864 0.7653
4.8685 1.3878 1.1752 0.7846 0.7503 0.7706
4.8423 1.4009 1.1415 0.7937 0.7427 0.7634
5.2466 1.4536 1.1241 0.7677 0.7298 1.1714
5.2242 1.4851 1.1921 0.7176 0.6366 1.1928
4.5500 1.4501 1.0443 0.7019 0.6418 0.7119
4.9396 1.4460 1.1556 0.8094 0.7267 0.8018
5.1253 1.4262 1.1535 0.7699 0.7067 1.0691
5.1749 1.4172 1.1623 0.7441 0.7832 1.0681
4.7262 1.3916 1.0653 0.7720 0.7725 0.7248
3.3591 0.9534 0.7222 0.5043 0.4199 0.7594
3.4950 0.9577 0.7627 0.4971 0.4747 0.8028
5.1701 1.4501 1.1237 0.7746 0.6495 1.1723
4.6310 1.4591 1.0719 0.7198 0.6795 0.7007
4.9489 1.4963 1.1587 0.7854 0.7448 0.7637
3.3343 0.9661 0.6964 0.4861 0.4456 0.7401
3.2942 0.9596 0.7036 0.4563 0.4387 0.7360
2.6960 0.9608 0.4582 0.4978 0.3142 0.4649
3.3960 0.9589 0.7610 0.5095 0.4363 0.7303
5.1727 1.4749 1.1215 0.7792 0.7172 1.0800
3.4311 0.9425 0.7610 0.4966 0.4737 0.7572
4.8070 1.4658 1.1270 0.7782 0.7133 0.7226
2.0547 0.5338 0.4866 0.2782 0.2718 0.4842
2.1071 0.5851 0.4458 0.2975 0.2828 0.4959
5.3892 1.4811 1.1728 0.7763 0.7348 1.2243
3.4039 0.9534 0.7403 0.4833 0.4609 0.7660
4.8466 1.4181 1.1425 0.7770 0.7184 0.7906
5.0347 1.4908 1.2200 0.7963 0.7601 0.7675
4.8633 1.4551 1.1263 0.7823 0.7203 0.7794
4.9834 1.4956 1.0004 0.7889 0.6890 1.0095
5.4350 1.4799 1.1988 0.7858 0.7508 1.2197
4.7748 1.4856 1.1058 0.7656 0.7303 0.6876
5.1668 1.5006 1.0300 0.7734 0.6557 1.2071
3.5000 0.9701 0.7527 0.5105 0.4745 0.7923
3.4268 0.9665 0.7296 0.4964 0.4623 0.7720
3.5124 0.9608 0.7710 0.5059 0.4754 0.7992
2.7273 0.9630 0.4597 0.5004 0.2882 0.5159
5.3773 1.4617 1.1775 0.7713 0.7410 1.2257
5.3065 1.4799 1.1237 0.7787 0.7181 1.2062
3.5241 0.9637 0.7722 0.5116 0.4752 0.8013
3.3205 0.9537 0.7279 0.4704 0.4256 0.7429
5.3425 1.5142 1.1990 0.7885 0.7513 1.0896
3.6681 1.0231 0.7837 0.5317 0.4971 0.8326
3.7897 1.0462 0.8285 0.5441 0.5190 0.8519
5.3258 1.4911 1.1046 0.7849 0.7164 1.2288
3.4783 0.9613 0.7589 0.4942 0.4747 0.7892
3.1676 0.9279 0.6936 0.4978 0.4306 0.6177
3.3803 0.9613 0.7656 0.4792 0.4745 0.6998
3.4118 0.9649 0.7632 0.4759 0.4084 0.7994
4.8141 1.4613 1.1489 0.7584 0.6998 0.7458
5.1994 1.4524 1.0955 0.7203 0.7014 1.2298
3.4182 0.9553 0.7277 0.4930 0.4592 0.7830
4.2291 1.4441 0.7696 0.7849 0.4737 0.7567
3.1228 0.9391 0.6912 0.4580 0.4506 0.5839
1.9214 0.6437 0.3886 0.2868 0.2139 0.3884
3.2997 0.9418 0.7343 0.4921 0.4201 0.7114
3.4523 0.9356 0.7677 0.4756 0.4759 0.7975
4.8101 1.4477 1.1058 0.7627 0.7112 0.7827
4.0152 1.3001 0.7613 0.7200 0.4761 0.7577
5.1861 1.4617 1.1067 0.7763 0.7114 1.1299
5.3267 1.3881 1.1799 0.8178 0.7401 1.2009
4.9427 1.4434 1.1742 0.8020 0.7663 0.7567
4.7743 1.4670 1.1191 0.7656 0.7215 0.7012
4.8337 1.4234 1.1542 0.7625 0.7193 0.7744
3.8476 0.9389 0.9682 0.4885 0.7455 0.7064
4.0998 1.4236 0.6673 0.7911 0.4692 0.7486
4.4994 1.3866 0.8466 0.7703 0.7365 0.7594
4.8995 1.2648 1.0707 0.7365 0.7799 1.0476
4.0307 1.4036 0.7019 0.7865 0.4342 0.7045
3.6857 0.9212 0.7217 0.5102 0.4201 1.1125
3.2709 0.9727 0.7052 0.4556 0.4339 0.7033
5.1551 1.3711 1.1246 0.7694 0.7167 1.1733
3.3207 0.9093 0.6697 0.5174 0.4756 0.7486
4.9562 1.3592 0.9365 0.8216 0.6838 1.1551
4.0617 1.3969 0.7412 0.7081 0.4389 0.7765
3.3453 0.9196 0.7210 0.5145 0.4213 0.7689
4.8025 1.4017 1.1175 0.8008 0.7408 0.7417
1.7793 0.5157 0.4025 0.2608 0.2396 0.3607
2.0504 0.5791 0.4323 0.3335 0.2661 0.4394
2.4419 0.6020 0.4761 0.3071 0.2778 0.7789
1.9357 0.5248 0.4301 0.2995 0.2818 0.3996
3.3906 0.9475 0.7408 0.5066 0.4365 0.7591
4.1032 1.4174 0.7212 0.7799 0.4597 0.7250
4.8065 1.4102 1.1237 0.7789 0.7424 0.7513
4.0324 1.3921 0.7176 0.7780 0.4790 0.6657
