total check_applicable1 check_applicable2 insert_time1 insert_time2 check_trivial
2.7368 0.8686 0.7036 0.5233 0.0000 0.6413
2.6965 0.8934 0.7033 0.4778 0.0000 0.6220
2.6906 0.8595 0.6666 0.5207 0.0000 0.6437
3.4614 1.4176 0.6952 0.7823 0.0000 0.5662
3.2742 1.4150 0.6804 0.6952 0.0000 0.4835
3.9566 1.4296 1.0302 0.7195 0.0000 0.7772
4.2169 1.3533 1.0645 0.7737 0.0000 1.0254
4.0917 1.3938 1.0829 0.7758 0.0000 0.8392
3.5470 0.9575 1.1477 0.4928 0.0000 0.9489
3.3643 1.4026 0.7074 0.7105 0.0000 0.5438
2.7323 0.9072 0.7362 0.4945 0.0000 0.5944
2.6891 0.9310 0.6838 0.4961 0.0000 0.5782
2.7149 0.9103 0.7067 0.4790 0.0000 0.6189
3.5992 1.4215 0.7417 0.7949 0.0000 0.6411
3.4935 1.4000 0.7021 0.7756 0.0000 0.6158
2.7087 0.8934 0.6852 0.4828 0.0000 0.6473
2.7032 0.9215 0.6893 0.4532 0.0000 0.6392
2.8312 0.9229 0.7329 0.4950 0.0000 0.6804
3.0117 0.9065 0.7215 0.4811 0.0000 0.9027
2.7976 0.9151 0.7441 0.4954 0.0000 0.6430
2.7142 0.9141 0.7360 0.4964 0.0000 0.5677
4.2369 1.3847 1.1156 0.7415 0.0000 0.9952
2.7480 0.9239 0.6640 0.4830 0.0000 0.6771
2.5547 0.9170 0.6771 0.4570 0.0000 0.5035
4.1709 1.4188 1.1129 0.7741 0.0000 0.8650
4.1077 1.4079 1.0936 0.7706 0.0000 0.8357
4.2710 1.4110 1.1613 0.7927 0.0000 0.9060
3.4828 1.4038 0.7074 0.7732 0.0000 0.5984
2.7063 0.9384 0.6793 0.4618 0.0000 0.6268
2.7039 0.9387 0.7102 0.4985 0.0000 0.5565
4.2353 1.4045 1.1656 0.7894 0.0000 0.8757
2.7547 0.9415 0.7303 0.4954 0.0000 0.5875
2.7313 0.9072 0.7176 0.4814 0.0000 0.6251
3.4034 1.3316 0.6537 0.7756 0.0000 0.6425
3.4175 1.4307 0.6871 0.7706 0.0000 0.5291
3.4490 1.4365 0.7377 0.7226 0.0000 0.5522
4.2427 1.4124 1.1425 0.7770 0.0000 0.9108
2.7506 0.9308 0.7484 0.5009 0.0000 0.5705
2.7742 0.9203 0.7424 0.4730 0.0000 0.6385
2.6739 0.8941 0.7186 0.4811 0.0000 0.5801
3.3958 1.3368 0.6516 0.7811 0.0000 0.6263
2.5303 0.8905 0.6478 0.5019 0.0000 0.4902
4.2403 1.4236 1.0784 0.7489 0.0000 0.9894
3.4022 1.3969 0.7300 0.7265 0.0000 0.5488
2.7215 0.9222 0.7379 0.4940 0.0000 0.5674
4.1416 1.4119 1.0853 0.7732 0.0000 0.8712
4.1509 1.3204 1.0626 0.7765 0.0000 0.9913
3.4680 1.4820 0.7057 0.7861 0.0000 0.4942
2.6655 0.9236 0.7169 0.4966 0.0000 0.5283
1.6787 0.5615 0.4740 0.3092 0.0000 0.3340
3.4935 1.3871 0.7377 0.7863 0.0000 0.5825
2.6453 0.8774 0.6590 0.5128 0.0000 0.5960
4.2729 1.4021 1.0934 0.7460 0.0000 1.0314
2.6670 0.9251 0.7184 0.4985 0.0000 0.5250
4.2410 1.4236 1.1692 0.7808 0.0000 0.8674
4.2417 1.3914 1.1575 0.7908 0.0000 0.9019
3.3786 1.3986 0.6869 0.7484 0.0000 0.5448
2.6715 0.9177 0.7005 0.4401 0.0000 0.6132
4.2555 1.4241 1.0147 0.8187 0.0000 0.9980
2.2058 0.9384 0.4594 0.5071 0.0000 0.3009
4.1997 1.4055 1.1501 0.7691 0.0000 0.8750
2.6557 0.9098 0.7081 0.4957 0.0000 0.5422
3.5646 1.4322 0.7336 0.7708 0.0000 0.6280
3.5653 1.4410 0.6783 0.7989 0.0000 0.6471
4.1471 1.1277 1.1778 0.7935 0.0000 1.0481
4.0591 1.2791 1.1101 0.7825 0.0000 0.8874
2.8534 0.9444 0.7570 0.5007 0.0000 0.6514
2.7947 0.9499 0.7124 0.4923 0.0000 0.6402
2.7006 0.9451 0.7505 0.4747 0.0000 0.5302
2.7022 0.9429 0.7291 0.4966 0.0000 0.5336
4.5023 1.5466 1.1616 0.7710 0.0000 1.0231
3.1953 1.0667 0.8311 0.5829 0.0000 0.7145
2.8834 0.9651 0.7470 0.5133 0.0000 0.6580
2.8467 0.9401 0.7503 0.4983 0.0000 0.6580
2.7153 0.9599 0.6413 0.4740 0.0000 0.6402
4.5390 1.4794 1.2357 0.7703 0.0000 1.0536
2.7671 0.9532 0.7484 0.5059 0.0000 0.5596
4.3478 1.4787 1.1098 0.7710 0.0000 0.9882
2.8515 0.9642 0.7386 0.4923 0.0000 0.6564
4.3707 1.4858 1.0970 0.7741 0.0000 1.0138
4.5111 1.5128 1.2178 0.7644 0.0000 1.0161
4.6670 1.5028 1.2069 0.8526 0.0000 1.1048
4.3681 1.4820 1.1144 0.7749 0.0000 0.9968
4.4014 1.4558 1.1716 0.7708 0.0000 1.0033
4.2019 1.5290 0.9410 0.7701 0.0000 0.9618
4.3247 1.4510 1.0602 0.7949 0.0000 1.0185
4.3538 1.4663 1.1125 0.7362 0.0000 1.0388
2.7058 0.9787 0.7107 0.4954 0.0000 0.5209
2.7919 0.9468 0.7849 0.4966 0.0000 0.5636
2.7149 0.8872 0.6921 0.5109 0.0000 0.6247
4.3626 1.4379 1.0774 0.8180 0.0000 1.0293
4.2121 1.4491 1.1628 0.7560 0.0000 0.8442
2.8803 0.9563 0.7539 0.4940 0.0000 0.6762
2.8369 0.9859 0.7164 0.5093 0.0000 0.6254
4.2608 1.4484 1.0486 0.7734 0.0000 0.9904
4.4253 1.4765 1.1506 0.7675 0.0000 1.0307
2.7273 0.9515 0.7226 0.4683 0.0000 0.5848
4.2474 1.4462 1.1575 0.7863 0.0000 0.8574
4.3442 1.4489 1.1325 0.7787 0.0000 0.9842
4.5450 1.4353 1.1892 0.8309 0.0000 1.0896
