rate_summary runtime(sec)
data condition #input_contrd contradiction #input_redun redundancy merge total_time output_rows
0.05098152160644531 0.021214008331298828 62 0.04016757011413574 55 0.06707906723022461 0.1080179214477539 0.2874600887298584 5
0.04422640800476074 0.001013040542602539 38 0.01800704002380371 38 0.019809722900390625 0.09929776191711426 0.4698140621185303 5
0.03663372993469238 0.001237630844116211 38 0.01688981056213379 37 0.0263822078704834 0.09945988655090332 0.6504173278808594 5
0.037381887435913086 0.0009479522705078125 38 0.017390727996826172 38 0.018877744674682617 0.10778546333312988 0.832801103591919 5
0.029957056045532227 0.0012326240539550781 38 0.017004013061523438 37 0.0266416072845459 0.09930801391601562 1.0069444179534912 5
0.04668450355529785 0.002000093460083008 30 0.02690410614013672 24 0.030146360397338867 0.07435154914855957 1.1870310306549072 1
rate_summary runtime(sec)
data condition #input_contrd contradiction #input_redun redundancy merge total_time output_rows
0.028879404067993164 0.020816326141357422 62 0.03885006904602051 55 0.06485676765441895 0.091217041015625 0.24461960792541504 5
0.028928041458129883 0.0009424686431884766 38 0.017365694046020508 38 0.019026756286621094 0.10760164260864258 0.4184842109680176 5
0.03115248680114746 0.0012323856353759766 38 0.016396284103393555 37 0.025753021240234375 0.09940028190612793 0.5924186706542969 5
0.0487060546875 0.0010509490966796875 38 0.016800880432128906 38 0.01809382438659668 0.0996401309967041 0.7767105102539062 5
0.05705380439758301 0.00127410888671875 38 0.01642322540283203 37 0.025682449340820312 0.1414964199066162 1.0186405181884766 5
0.048378705978393555 0.0015187263488769531 30 0.023994922637939453 24 0.02837514877319336 0.0661923885345459 1.1871004104614258 1
