Time in seconds
Variable	Checking
3.3753		0.0111
3.36		0.0139
3.3522		0.0139
3.3672		0.0111
3.5367		0.0146
4.0417		0.012
4.0632		0.0141
4.0368		0.0153
4.2824		0.0162
4.0052		0.0151
4.286		0.0159
3.8219		0.0111
3.9759		0.0117
4.2964		0.0143
3.5458		0.0142
4.2889		0.0119
4.0551		0.0139
3.7459		0.0122
4.2862		0.0116
4.2773		0.0163
4.0502		0.0115
4.0994		0.0172
4.2796		0.0132
4.0528		0.0144
4.2956		0.0147
4.2873		0.0151
4.0681		0.0129
4.0237		0.0146
4.2911		0.0138
3.3663		0.0148
3.375		0.0157
3.7715		0.0142
4.0391		0.0151
4.0532		0.0193
4.0133		0.0142
3.3661		0.0117
4.2094		0.0126
3.8959		0.0133
4.2833		0.0169
4.2903		0.0122
4.0107		0.0188
3.7357		0.0123
4.2824		0.0136
4.2894		0.0156
4.0419		0.0124
4.2923		0.0134
4.0502		0.0199
3.4985		0.0164
3.9312		0.0176
4.2767		0.014
4.0068		0.0154
3.5055		0.0129
4.002		0.013
4.0064		0.0194
4.0307		0.011
