/home/manwar/pyotr
/home/manwar/pyotr
Time in seconds
Variable	Checking
3.3788		0.0378
3.3645		0.0477
3.3617		0.046
3.3733		0.0413
3.5429		0.0403
4.0473		0.0434
4.0652		0.0474
4.0586		0.0427
4.2952		0.0415
4.0139		0.0505
4.2892		0.0449
3.829		0.0418
3.9857		0.0516
4.3048		0.0422
3.5585		0.041
4.3028		0.0414
4.0686		0.0416
3.747		0.0429
4.2927		0.044
4.2849		0.0484
4.0645		0.046
4.1128		0.0476
4.2952		0.041
4.0559		0.0446
4.3123		0.0404
4.3028		0.0464
4.071		0.0395
4.0325		0.0688
4.3029		0.0441
3.375		0.065
3.3819		0.0571
3.7807		0.0482
4.0438		0.0417
4.0626		0.056
4.0247		0.0443
3.374		0.0525
4.216		0.0485
3.9012		0.0566
4.2876		0.048
4.2951		0.0485
4.0183		0.0508
3.7462		0.0539
4.2881		0.0478
4.3022		0.046
4.0435		0.0464
4.3056		0.0446
4.0588		0.0442
3.4989		0.0451
3.9339		0.0554
4.2932		0.0454
4.0218		0.0514
3.4949		0.053
4.0142		0.0414
4.0164		0.0516
4.0453		0.0419
