cdf runtime
0.0000 417.794 
0.0101 422.4727 
0.0202 422.7064 
0.0303 443.2852 
0.0404 447.2566 
0.0505 452.0822 
0.0606 458.2074 
0.0707 470.1252 
0.0808 475.4498 
0.0909 481.8168 
0.1010 484.5829 
0.1111 489.8846 
0.1212 491.8654 
0.1313 493.0007 
0.1414 494.1368 
0.1515 494.3976 
0.1616 494.6685 
0.1717 498.0249 
0.1818 504.7462 
0.1919 517.8809 
0.2020 518.3582 
0.2121 522.3701 
0.2222 526.6259 
0.2323 528.3041 
0.2424 534.9474 
0.2525 537.0281 
0.2626 539.1669 
0.2727 539.6745 
0.2828 541.1735 
0.2929 541.8065 
0.3030 542.6903 
0.3131 543.6568 
0.3232 547.8315 
0.3333 549.0079 
0.3434 549.907 
0.3535 551.1053 
0.3636 552.0513 
0.3737 553.0958 
0.3838 554.4479 
0.3939 555.8126 
0.4040 559.4256 
0.4141 559.7224 
0.4242 560.0793 
0.4343 562.2175 
0.4444 565.7172 
0.4545 566.252 
0.4646 566.967 
0.4747 569.1321 
0.4848 571.2981 
0.4949 571.96 
0.5051 575.1104 
0.5152 575.4313 
0.5253 576.1189 
0.5354 579.7462 
0.5455 581.9519 
0.5556 584.3275 
0.5657 592.5627 
0.5758 595.5048 
0.5859 597.4402 
0.5960 597.6069 
0.6061 599.6013 
0.6162 600.0905 
0.6263 601.8047 
0.6364 602.1538 
0.6465 608.4659 
0.6566 609.724 
0.6667 612.0291 
0.6768 623.0357 
0.6869 637.2969 
0.6970 639.3209 
0.7071 639.5471 
0.7172 644.5479 
0.7273 645.6354 
0.7374 650.7823 
0.7475 653.8923 
0.7576 654.9351 
0.7677 655.3273 
0.7778 657.4407 
0.7879 661.1822 
0.7980 662.0667 
0.8081 664.8924 
0.8182 665.7963 
0.8283 670.2948 
0.8384 675.7095 
0.8485 688.3898 
0.8586 689.8348 
0.8687 700.8522 
0.8788 712.4603 
0.8889 715.1685 
0.8990 725.5712 
0.9091 729.5463 
0.9192 733.6884 
0.9293 734.9718 
0.9394 740.9563 
0.9495 767.9849 
0.9596 770.9942 
0.9697 778.4405 
0.9798 781.872 
0.9899 791.1124 
1.0000 877.8343 
